3.24	-9.11	-7.34	-8.43	-9.21	6.93
3.32	-9.08	-7.25	-7.79	-8.67	7.96
4.28	-9.47	-8.49	15.24	-1.47	39.65
3.14	-11.40	-9.59	78.92	-39.96	60.95
4.86	-11.60	-12.28	103.50	-119.17	104.62
-0.05	-12.09	-14.32	75.87	-243.01	89.60
-4.40	-14.10	-17.59	135.24	-250.01	76.51
-15.72	-7.01	-15.56	-48.84	-250.01	32.81
-12.53	-17.57	-10.42	23.67	-250.01	52.00
-9.33	-16.57	-17.73	-60.44	-250.01	69.77
-5.11	-17.97	-10.95	-94.78	-250.01	75.72
-3.04	-13.22	-9.21	51.90	-250.01	36.81
-2.93	-8.68	-0.91	-102.92	-250.01	61.18
1.75	-14.34	1.55	-7.24	-234.05	75.11
4.81	-9.18	1.27	71.18	-167.82	-34.31
10.91	0.18	-3.18	3.85	59.18	89.21
9.65	-0.70	-7.67	-110.45	113.73	43.86
-5.60	-3.84	-6.60	-139.15	250.00	-22.27
-19.61	-19.61	3.97	-136.78	250.00	40.41
-19.61	-19.61	4.76	-62.01	-37.55	42.09
-19.61	-19.61	0.59	92.39	-250.01	-26.59
-12.46	-7.53	-2.28	-40.03	-250.01	-6.37
-4.89	-7.62	-3.21	12.97	-250.01	-71.10
6.73	-14.40	-1.23	98.29	-112.62	-66.97
7.85	3.71	-5.57	40.35	-56.91	-60.49
12.21	-6.43	-3.82	-44.40	66.28	31.62
4.76	-3.08	-4.27	-26.66	209.39	-4.59
-2.97	-9.34	-5.72	-133.20	250.00	49.10
-19.61	-9.78	-3.27	-147.60	250.00	-16.01
-19.61	-19.61	1.77	-53.63	114.87	9.41
-19.61	-19.61	-0.69	72.85	-102.87	-25.93
-9.08	-10.83	-0.06	99.54	-147.21	-51.16
-1.80	-7.04	1.61	55.06	-14.88	2.95
-1.01	-8.59	2.92	20.17	49.90	-17.91
0.83	-7.84	0.85	49.24	175.00	-20.96
-1.15	-9.56	1.19	36.58	192.48	-38.68
-0.07	-10.00	-0.89	41.17	250.00	-39.95
-0.35	-15.44	-2.98	77.15	250.00	-17.46
-5.90	-11.38	-15.46	75.92	250.00	-11.07
-5.47	-13.04	-12.00	-48.62	250.00	-39.80
-10.71	-4.83	-14.43	-207.56	250.00	45.01
-12.00	-6.83	-17.04	-250.01	250.00	64.99
-6.06	-11.82	-5.63	-204.19	182.56	1.67
1.60	-3.72	-12.57	-21.68	169.84	-61.01
7.00	-7.04	-13.79	-32.69	232.97	35.21
6.64	-6.12	-15.64	31.83	154.39	31.62
4.92	-2.00	-19.61	-29.25	-218.32	10.43
1.22	-13.05	-11.50	-61.65	-250.01	17.72
1.02	-8.16	-19.61	201.67	-250.01	-76.99
-6.14	-8.60	-19.61	120.92	-250.01	-30.97
-5.04	-2.42	-19.61	187.73	-250.01	-126.74
-5.50	-10.67	-6.16	38.42	-250.01	84.03
-4.26	-7.15	-10.25	12.70	-250.01	26.93
0.67	-11.05	-6.55	-109.70	-250.01	-8.78
4.88	-11.56	-5.40	35.46	-250.01	-16.02
8.61	-9.94	-3.44	-109.74	-250.01	10.09
14.20	-1.85	-4.07	-67.22	-50.36	140.60
12.73	-4.78	-4.56	-39.40	114.24	105.86
-9.03	-0.87	-6.58	-107.49	250.00	88.97
-19.61	-15.46	1.55	-152.90	250.00	111.00
-19.61	-19.61	7.52	-26.62	7.91	4.01
-19.61	-19.61	1.42	105.13	-242.03	-73.66
-13.67	-10.52	-3.12	-6.61	-250.01	-10.70
-3.10	-8.74	-5.36	21.56	-195.09	-18.80
4.06	-8.30	-5.04	104.88	-110.43	-67.03
7.79	-2.04	-4.15	37.53	-91.14	-62.13
12.34	-4.91	-1.27	-84.89	20.54	38.00
